Symptom,Disease,Country,Count
empirical,temperatures,india,1
definitions,temperatures,india,1
criteria,temperatures,india,1
etiology,temperatures,india,1
temperatures,test,india,1
healthcare,temperatures,india,1
temperatures,week,india,1
admission,temperatures,india,1
temperatures,treatment,india,1
retrospectively,temperatures,india,1
temperatures,undiagnosed,india,1
fuo,temperatures,india,1
temperatures,weeks,india,1
adult,temperatures,india,1
occasions,temperatures,india,1
longer,temperatures,india,1
evaluated,temperatures,india,1
temperatures,variation,india,1
evaluation,temperatures,india,1
outcomes,temperatures,india,1
inpatient,temperatures,india,1
enhancing,temperatures,india,1
contexts,temperatures,india,1
fever,temperatures,india,1
hospitalization,infection,india,1
adaptation,hospitalization,india,1
hospitalization,ranges,india,1
hospitalization,multiple,india,1
hospitalization,temperature,india,1
empirical,hospitalization,india,1
definitions,hospitalization,india,1
criteria,hospitalization,india,1
etiology,hospitalization,india,1
hospitalization,test,india,1
healthcare,hospitalization,india,1
hospitalization,week,india,1
admission,hospitalization,india,1
hospitalization,treatment,india,1
hospitalization,retrospectively,india,1
hospitalization,undiagnosed,india,1
fuo,hospitalization,india,1
hospitalization,weeks,india,1
adult,hospitalization,india,1
hospitalization,occasions,india,1
hospitalization,longer,india,1
evaluated,hospitalization,india,1
hospitalization,variation,india,1
evaluation,hospitalization,india,1
hospitalization,outcomes,india,1
hospitalization,inpatient,india,1
enhancing,hospitalization,india,1
contexts,hospitalization,india,1
fever,hospitalization,india,2
adaptation,infection,india,1
infection,ranges,india,1
infection,multiple,india,1
infection,temperature,india,1
empirical,infection,india,1
definitions,infection,india,1
criteria,infection,india,1
etiology,infection,india,1
infection,test,india,1
healthcare,infection,india,1
infection,week,india,1
admission,infection,india,1
infection,treatment,india,2
infection,retrospectively,india,1
infection,undiagnosed,india,1
fuo,infection,india,1
infection,weeks,india,1
adult,infection,india,1
infection,occasions,india,1
infection,longer,india,1
evaluated,infection,india,1
infection,variation,india,1
evaluation,infection,india,1
infection,outcomes,india,1
infection,inpatient,india,1
enhancing,infection,india,1
contexts,infection,india,1
fever,infection,india,3
adaptation,ranges,india,1
adaptation,multiple,india,1
adaptation,temperature,india,1
adaptation,empirical,india,1
adaptation,definitions,india,1
adaptation,criteria,india,1
adaptation,etiology,india,1
adaptation,test,india,1
adaptation,healthcare,india,1
adaptation,week,india,1
adaptation,admission,india,1
adaptation,treatment,india,1
adaptation,retrospectively,india,1
adaptation,undiagnosed,india,1
adaptation,fuo,india,1
adaptation,weeks,india,1
adaptation,adult,india,1
adaptation,occasions,india,1
adaptation,longer,india,1
adaptation,evaluated,india,1
adaptation,variation,india,1
adaptation,evaluation,india,1
adaptation,outcomes,india,1
adaptation,inpatient,india,1
adaptation,enhancing,india,1
adaptation,contexts,india,1
adaptation,fever,india,1
multiple,ranges,india,1
ranges,temperature,india,1
empirical,ranges,india,1
definitions,ranges,india,1
criteria,ranges,india,1
etiology,ranges,india,1
ranges,test,india,1
healthcare,ranges,india,1
ranges,week,india,1
admission,ranges,india,1
ranges,treatment,india,1
ranges,retrospectively,india,1
ranges,undiagnosed,india,1
fuo,ranges,india,1
ranges,weeks,india,1
adult,ranges,india,1
occasions,ranges,india,1
longer,ranges,india,1
evaluated,ranges,india,1
ranges,variation,india,1
evaluation,ranges,india,1
outcomes,ranges,india,1
inpatient,ranges,india,1
enhancing,ranges,india,1
contexts,ranges,india,1
fever,ranges,india,1
multiple,temperature,india,1
empirical,multiple,india,1
definitions,multiple,india,1
criteria,multiple,india,1
etiology,multiple,india,1
multiple,test,india,1
healthcare,multiple,india,1
multiple,week,india,1
admission,multiple,india,1
multiple,treatment,india,2
multiple,retrospectively,india,1
multiple,undiagnosed,india,1
fuo,multiple,india,1
multiple,weeks,india,1
adult,multiple,india,1
multiple,occasions,india,1
longer,multiple,india,1
evaluated,multiple,india,1
multiple,variation,india,1
evaluation,multiple,india,1
multiple,outcomes,india,2
inpatient,multiple,india,1
enhancing,multiple,india,1
contexts,multiple,india,1
fever,multiple,india,1
empirical,temperature,india,1
definitions,temperature,india,1
criteria,temperature,india,1
etiology,temperature,india,1
temperature,test,india,1
healthcare,temperature,india,1
temperature,week,india,1
admission,temperature,india,1
temperature,treatment,india,1
retrospectively,temperature,india,1
temperature,undiagnosed,india,1
fuo,temperature,india,1
temperature,weeks,india,2
adult,temperature,india,1
occasions,temperature,india,1
longer,temperature,india,1
evaluated,temperature,india,1
temperature,variation,india,1
evaluation,temperature,india,1
outcomes,temperature,india,1
inpatient,temperature,india,1
enhancing,temperature,india,1
contexts,temperature,india,1
fever,temperature,india,1
definitions,empirical,india,1
criteria,empirical,india,1
empirical,etiology,india,1
empirical,test,india,1
empirical,healthcare,india,1
empirical,week,india,1
admission,empirical,india,1
empirical,treatment,india,2
empirical,retrospectively,india,1
empirical,undiagnosed,india,1
empirical,fuo,india,1
empirical,weeks,india,1
adult,empirical,india,1
empirical,occasions,india,1
empirical,longer,india,1
empirical,evaluated,india,1
empirical,variation,india,1
empirical,evaluation,india,1
empirical,outcomes,india,1
empirical,inpatient,india,1
empirical,enhancing,india,1
contexts,empirical,india,1
empirical,fever,india,2
criteria,definitions,india,1
definitions,etiology,india,1
definitions,test,india,1
definitions,healthcare,india,1
definitions,week,india,1
admission,definitions,india,1
definitions,treatment,india,1
definitions,retrospectively,india,1
definitions,undiagnosed,india,1
definitions,fuo,india,1
definitions,weeks,india,1
adult,definitions,india,1
definitions,occasions,india,1
definitions,longer,india,1
definitions,evaluated,india,1
definitions,variation,india,1
definitions,evaluation,india,1
definitions,outcomes,india,1
definitions,inpatient,india,1
definitions,enhancing,india,1
contexts,definitions,india,1
definitions,fever,india,1
criteria,etiology,india,1
criteria,test,india,1
criteria,healthcare,india,1
criteria,week,india,1
admission,criteria,india,1
criteria,treatment,india,1
criteria,retrospectively,india,1
criteria,undiagnosed,india,1
criteria,fuo,india,1
criteria,weeks,india,1
adult,criteria,india,1
criteria,occasions,india,1
criteria,longer,india,1
criteria,evaluated,india,1
criteria,variation,india,1
criteria,evaluation,india,1
criteria,outcomes,india,1
criteria,inpatient,india,1
criteria,enhancing,india,1
contexts,criteria,india,1
criteria,fever,india,1
etiology,test,india,1
etiology,healthcare,india,1
etiology,week,india,1
admission,etiology,india,1
etiology,treatment,india,1
etiology,retrospectively,india,1
etiology,undiagnosed,india,1
etiology,fuo,india,1
etiology,weeks,india,1
adult,etiology,india,1
etiology,occasions,india,1
etiology,longer,india,1
etiology,evaluated,india,1
etiology,variation,india,1
etiology,evaluation,india,1
etiology,outcomes,india,1
etiology,inpatient,india,1
enhancing,etiology,india,1
contexts,etiology,india,1
etiology,fever,india,1
healthcare,test,india,1
test,week,india,1
admission,test,india,1
test,treatment,india,1
retrospectively,test,india,1
test,undiagnosed,india,1
fuo,test,india,1
test,weeks,india,1
adult,test,india,1
occasions,test,india,1
longer,test,india,1
evaluated,test,india,1
test,variation,india,1
evaluation,test,india,1
outcomes,test,india,1
inpatient,test,india,1
enhancing,test,india,1
contexts,test,india,1
fever,test,india,1
healthcare,week,india,1
admission,healthcare,india,1
healthcare,treatment,india,1
healthcare,retrospectively,india,1
healthcare,undiagnosed,india,1
fuo,healthcare,india,1
healthcare,weeks,india,1
adult,healthcare,india,1
healthcare,occasions,india,1
healthcare,longer,india,1
evaluated,healthcare,india,1
healthcare,variation,india,1
evaluation,healthcare,india,1
healthcare,outcomes,india,1
healthcare,inpatient,india,1
enhancing,healthcare,india,1
contexts,healthcare,india,1
fever,healthcare,india,1
admission,week,india,1
treatment,week,india,1
retrospectively,week,india,1
undiagnosed,week,india,1
fuo,week,india,1
week,weeks,india,1
adult,week,india,1
occasions,week,india,1
longer,week,india,1
evaluated,week,india,1
variation,week,india,1
evaluation,week,india,1
outcomes,week,india,1
inpatient,week,india,1
enhancing,week,india,1
contexts,week,india,1
fever,week,india,1
admission,treatment,india,2
admission,retrospectively,india,1
admission,undiagnosed,india,1
admission,fuo,india,1
admission,weeks,india,2
admission,adult,india,3
admission,occasions,india,1
admission,longer,india,1
admission,evaluated,india,1
admission,variation,india,1
admission,evaluation,india,1
admission,outcomes,india,2
admission,inpatient,india,1
admission,enhancing,india,1
admission,contexts,india,1
admission,fever,india,2
retrospectively,treatment,india,1
treatment,undiagnosed,india,1
fuo,treatment,india,1
treatment,weeks,india,1
adult,treatment,india,3
occasions,treatment,india,1
longer,treatment,india,1
evaluated,treatment,india,1
treatment,variation,india,1
evaluation,treatment,india,1
outcomes,treatment,india,4
inpatient,treatment,india,1
enhancing,treatment,india,1
contexts,treatment,india,1
fever,treatment,india,4
retrospectively,undiagnosed,india,1
fuo,retrospectively,india,1
retrospectively,weeks,india,1
adult,retrospectively,india,1
occasions,retrospectively,india,1
longer,retrospectively,india,1
evaluated,retrospectively,india,1
retrospectively,variation,india,1
evaluation,retrospectively,india,1
outcomes,retrospectively,india,1
inpatient,retrospectively,india,1
enhancing,retrospectively,india,1
contexts,retrospectively,india,1
fever,retrospectively,india,2
fuo,undiagnosed,india,1
undiagnosed,weeks,india,1
adult,undiagnosed,india,1
occasions,undiagnosed,india,1
longer,undiagnosed,india,1
evaluated,undiagnosed,india,1
undiagnosed,variation,india,1
evaluation,undiagnosed,india,1
outcomes,undiagnosed,india,1
inpatient,undiagnosed,india,1
enhancing,undiagnosed,india,1
contexts,undiagnosed,india,1
fever,undiagnosed,india,2
fuo,weeks,india,1
adult,fuo,india,1
fuo,occasions,india,1
fuo,longer,india,1
evaluated,fuo,india,1
fuo,variation,india,1
evaluation,fuo,india,1
fuo,outcomes,india,1
fuo,inpatient,india,1
enhancing,fuo,india,1
contexts,fuo,india,1
fever,fuo,india,1
adult,weeks,india,2
occasions,weeks,india,1
longer,weeks,india,1
evaluated,weeks,india,1
variation,weeks,india,1
evaluation,weeks,india,1
outcomes,weeks,india,1
inpatient,weeks,india,1
enhancing,weeks,india,1
contexts,weeks,india,1
fever,weeks,india,3
adult,occasions,india,1
adult,longer,india,1
adult,evaluated,india,1
adult,variation,india,1
adult,evaluation,india,1
adult,outcomes,india,3
adult,inpatient,india,1
adult,enhancing,india,1
adult,contexts,india,1
adult,fever,india,3
longer,occasions,india,1
evaluated,occasions,india,1
occasions,variation,india,1
evaluation,occasions,india,1
occasions,outcomes,india,1
inpatient,occasions,india,1
enhancing,occasions,india,1
contexts,occasions,india,1
fever,occasions,india,1
evaluated,longer,india,1
longer,variation,india,1
evaluation,longer,india,1
longer,outcomes,india,1
inpatient,longer,india,1
enhancing,longer,india,1
contexts,longer,india,1
fever,longer,india,1
evaluated,variation,india,1
evaluated,evaluation,india,1
evaluated,outcomes,india,1
evaluated,inpatient,india,1
enhancing,evaluated,india,1
contexts,evaluated,india,1
evaluated,fever,india,1
evaluation,variation,india,1
outcomes,variation,india,1
inpatient,variation,india,1
enhancing,variation,india,1
contexts,variation,india,1
fever,variation,india,1
evaluation,outcomes,india,1
evaluation,inpatient,india,1
enhancing,evaluation,india,1
contexts,evaluation,india,1
evaluation,fever,india,2
inpatient,outcomes,india,1
enhancing,outcomes,india,1
contexts,outcomes,india,1
fever,outcomes,india,5
enhancing,inpatient,india,1
contexts,inpatient,india,1
fever,inpatient,india,1
contexts,enhancing,india,1
enhancing,fever,india,1
contexts,fever,india,2
kfd,phase,india,1
kfd,suspicion,india,1
karnataka,kfd,india,1
kfd,weeks,india,1
headache,kfd,india,1
kfd,sensorium,india,1
kfd,manifestations,india,1
kfd,woman,india,1
endemic,kfd,india,1
elderly,kfd,india,1
involvement,kfd,india,1
fever,kfd,india,1
phase,suspicion,india,1
karnataka,phase,india,1
phase,weeks,india,1
headache,phase,india,1
phase,sensorium,india,1
manifestations,phase,india,1
phase,woman,india,1
endemic,phase,india,1
elderly,phase,india,1
involvement,phase,india,1
fever,phase,india,1
karnataka,suspicion,india,1
suspicion,weeks,india,1
headache,suspicion,india,1
sensorium,suspicion,india,1
manifestations,suspicion,india,1
suspicion,woman,india,1
endemic,suspicion,india,1
elderly,suspicion,india,1
involvement,suspicion,india,1
fever,suspicion,india,2
karnataka,weeks,india,1
headache,karnataka,india,1
karnataka,sensorium,india,1
karnataka,manifestations,india,1
karnataka,woman,india,1
endemic,karnataka,india,1
elderly,karnataka,india,1
involvement,karnataka,india,2
fever,karnataka,india,3
headache,weeks,india,2
sensorium,weeks,india,1
manifestations,weeks,india,1
weeks,woman,india,1
endemic,weeks,india,1
elderly,weeks,india,1
involvement,weeks,india,1
headache,sensorium,india,1
headache,manifestations,india,1
headache,woman,india,1
endemic,headache,india,1
elderly,headache,india,1
headache,involvement,india,1
fever,headache,india,2
manifestations,sensorium,india,1
sensorium,woman,india,1
endemic,sensorium,india,2
elderly,sensorium,india,1
involvement,sensorium,india,2
fever,sensorium,india,1
manifestations,woman,india,1
endemic,manifestations,india,1
elderly,manifestations,india,1
involvement,manifestations,india,2
fever,manifestations,india,2
endemic,woman,india,1
elderly,woman,india,1
involvement,woman,india,1
fever,woman,india,2
elderly,endemic,india,1
endemic,involvement,india,2
endemic,fever,india,4
elderly,involvement,india,1
elderly,fever,india,1
fever,involvement,india,3
kfd,phase,oman,1
kfd,suspicion,oman,1
karnataka,kfd,oman,1
kfd,weeks,oman,1
headache,kfd,oman,1
kfd,sensorium,oman,1
kfd,manifestations,oman,1
kfd,woman,oman,1
endemic,kfd,oman,1
elderly,kfd,oman,1
involvement,kfd,oman,1
fever,kfd,oman,1
phase,suspicion,oman,1
karnataka,phase,oman,1
phase,weeks,oman,1
headache,phase,oman,1
phase,sensorium,oman,1
manifestations,phase,oman,1
phase,woman,oman,1
endemic,phase,oman,1
elderly,phase,oman,1
involvement,phase,oman,1
fever,phase,oman,1
karnataka,suspicion,oman,1
suspicion,weeks,oman,1
headache,suspicion,oman,1
sensorium,suspicion,oman,1
manifestations,suspicion,oman,1
suspicion,woman,oman,2
endemic,suspicion,oman,1
elderly,suspicion,oman,1
involvement,suspicion,oman,1
fever,suspicion,oman,2
karnataka,weeks,oman,1
headache,karnataka,oman,1
karnataka,sensorium,oman,1
karnataka,manifestations,oman,1
karnataka,woman,oman,1
endemic,karnataka,oman,1
elderly,karnataka,oman,1
involvement,karnataka,oman,1
fever,karnataka,oman,1
headache,weeks,oman,1
sensorium,weeks,oman,1
manifestations,weeks,oman,1
weeks,woman,oman,1
endemic,weeks,oman,1
elderly,weeks,oman,1
involvement,weeks,oman,1
fever,weeks,oman,1
headache,sensorium,oman,1
headache,manifestations,oman,1
headache,woman,oman,1
endemic,headache,oman,1
elderly,headache,oman,1
headache,involvement,oman,1
fever,headache,oman,1
manifestations,sensorium,oman,1
sensorium,woman,oman,1
endemic,sensorium,oman,1
elderly,sensorium,oman,1
involvement,sensorium,oman,1
fever,sensorium,oman,1
manifestations,woman,oman,1
endemic,manifestations,oman,1
elderly,manifestations,oman,1
involvement,manifestations,oman,1
fever,manifestations,oman,1
endemic,woman,oman,1
elderly,woman,oman,1
involvement,woman,oman,1
fever,woman,oman,5
elderly,endemic,oman,1
endemic,involvement,oman,1
endemic,fever,oman,1
elderly,involvement,oman,1
elderly,fever,oman,1
fever,involvement,oman,1
approximately,management,india,1
management,pyuria,india,1
management,regions,india,1
management,prevent,india,1
disseminated,management,india,1
increased,management,india,1
management,prevalence,india,2
decades,management,india,1
genitourinary,management,india,1
management,recurrent,india,1
management,primary,india,1
infection,management,india,1
management,mass,india,1
kidneys,management,india,1
management,nonspecific,india,1
management,suspicion,india,1
improve,management,india,1
development,management,india,1
management,nonfunctioning,india,1
affected,management,india,1
management,treatment,india,2
clinicians,management,india,1
hydronephrosis,management,india,1
management,manifestation,india,1
kidney,management,india,1
complications,management,india,2
dysuria,management,india,1
disease,management,india,1
management,organ,india,1
fever,management,india,3
approximately,pyuria,india,1
approximately,regions,india,1
approximately,prevent,india,1
approximately,disseminated,india,1
approximately,increased,india,1
approximately,prevalence,india,1
approximately,decades,india,1
approximately,genitourinary,india,1
approximately,recurrent,india,1
approximately,primary,india,1
approximately,infection,india,1
approximately,mass,india,1
approximately,kidneys,india,1
approximately,nonspecific,india,1
approximately,suspicion,india,1
approximately,improve,india,1
approximately,development,india,1
approximately,nonfunctioning,india,1
affected,approximately,india,1
approximately,treatment,india,1
approximately,clinicians,india,1
approximately,hydronephrosis,india,1
approximately,manifestation,india,1
approximately,kidney,india,1
approximately,complications,india,1
approximately,dysuria,india,1
approximately,disease,india,1
approximately,organ,india,1
approximately,fever,india,1
pyuria,regions,india,1
prevent,pyuria,india,1
disseminated,pyuria,india,1
increased,pyuria,india,1
prevalence,pyuria,india,1
decades,pyuria,india,1
genitourinary,pyuria,india,1
pyuria,recurrent,india,1
primary,pyuria,india,1
infection,pyuria,india,1
mass,pyuria,india,1
kidneys,pyuria,india,1
nonspecific,pyuria,india,1
pyuria,suspicion,india,1
improve,pyuria,india,1
development,pyuria,india,1
nonfunctioning,pyuria,india,1
affected,pyuria,india,1
pyuria,treatment,india,1
clinicians,pyuria,india,1
hydronephrosis,pyuria,india,1
manifestation,pyuria,india,1
kidney,pyuria,india,1
complications,pyuria,india,1
dysuria,pyuria,india,1
disease,pyuria,india,1
organ,pyuria,india,1
fever,pyuria,india,1
prevent,regions,india,1
disseminated,regions,india,1
increased,regions,india,1
prevalence,regions,india,1
decades,regions,india,1
genitourinary,regions,india,1
recurrent,regions,india,1
primary,regions,india,1
infection,regions,india,1
mass,regions,india,1
kidneys,regions,india,1
nonspecific,regions,india,1
regions,suspicion,india,1
improve,regions,india,1
development,regions,india,1
nonfunctioning,regions,india,1
affected,regions,india,1
regions,treatment,india,1
clinicians,regions,india,1
hydronephrosis,regions,india,1
manifestation,regions,india,1
kidney,regions,india,1
complications,regions,india,1
dysuria,regions,india,1
disease,regions,india,1
organ,regions,india,1
fever,regions,india,2
disseminated,prevent,india,1
increased,prevent,india,1
prevalence,prevent,india,1
decades,prevent,india,1
genitourinary,prevent,india,1
prevent,recurrent,india,1
prevent,primary,india,1
infection,prevent,india,1
mass,prevent,india,1
kidneys,prevent,india,1
nonspecific,prevent,india,1
prevent,suspicion,india,1
improve,prevent,india,1
development,prevent,india,1
nonfunctioning,prevent,india,1
affected,prevent,india,1
prevent,treatment,india,1
clinicians,prevent,india,1
hydronephrosis,prevent,india,1
manifestation,prevent,india,1
kidney,prevent,india,1
complications,prevent,india,2
dysuria,prevent,india,1
disease,prevent,india,1
organ,prevent,india,1
fever,prevent,india,2
disseminated,increased,india,1
disseminated,prevalence,india,1
decades,disseminated,india,1
disseminated,genitourinary,india,1
disseminated,recurrent,india,1
disseminated,primary,india,1
disseminated,infection,india,1
disseminated,mass,india,1
disseminated,kidneys,india,1
disseminated,nonspecific,india,1
disseminated,suspicion,india,1
disseminated,improve,india,1
development,disseminated,india,1
disseminated,nonfunctioning,india,1
affected,disseminated,india,1
disseminated,treatment,india,1
clinicians,disseminated,india,1
disseminated,hydronephrosis,india,1
disseminated,manifestation,india,1
disseminated,kidney,india,1
complications,disseminated,india,1
disseminated,dysuria,india,1
disease,disseminated,india,1
disseminated,organ,india,1
disseminated,fever,india,1
increased,prevalence,india,1
decades,increased,india,1
genitourinary,increased,india,1
increased,recurrent,india,1
increased,primary,india,1
increased,infection,india,2
increased,mass,india,1
increased,kidneys,india,1
increased,nonspecific,india,1
increased,suspicion,india,1
improve,increased,india,1
development,increased,india,1
increased,nonfunctioning,india,1
affected,increased,india,1
increased,treatment,india,1
clinicians,increased,india,1
hydronephrosis,increased,india,1
increased,manifestation,india,1
increased,kidney,india,1
complications,increased,india,1
dysuria,increased,india,1
disease,increased,india,1
increased,organ,india,1
fever,increased,india,3
decades,prevalence,india,1
genitourinary,prevalence,india,1
prevalence,recurrent,india,1
prevalence,primary,india,1
mass,prevalence,india,1
kidneys,prevalence,india,1
nonspecific,prevalence,india,1
prevalence,suspicion,india,1
improve,prevalence,india,1
development,prevalence,india,1
nonfunctioning,prevalence,india,1
affected,prevalence,india,1
clinicians,prevalence,india,1
hydronephrosis,prevalence,india,1
manifestation,prevalence,india,1
kidney,prevalence,india,1
complications,prevalence,india,1
dysuria,prevalence,india,1
disease,prevalence,india,1
organ,prevalence,india,1
decades,genitourinary,india,1
decades,recurrent,india,1
decades,primary,india,1
decades,infection,india,1
decades,mass,india,1
decades,kidneys,india,1
decades,nonspecific,india,1
decades,suspicion,india,1
decades,improve,india,1
decades,development,india,2
decades,nonfunctioning,india,1
affected,decades,india,1
decades,treatment,india,2
clinicians,decades,india,1
decades,hydronephrosis,india,1
decades,manifestation,india,1
decades,kidney,india,1
complications,decades,india,1
decades,dysuria,india,1
decades,disease,india,1
decades,organ,india,1
decades,fever,india,2
genitourinary,recurrent,india,1
genitourinary,primary,india,1
genitourinary,infection,india,1
genitourinary,mass,india,1
genitourinary,kidneys,india,1
genitourinary,nonspecific,india,1
genitourinary,suspicion,india,1
genitourinary,improve,india,1
development,genitourinary,india,1
